EUBWID,label,sampleTime,intestinalEnterococciQualifier,intestinalEnterococciCount,escherichiaColiQualifier,escherichiaColiCount,entrovirusQualifier,entrovirusCount,totalColiformQualifier,totalColiformCount,faecalStreptococciQualifier,faecalStreptococciCount,faecalColiformQualifier,faecalColiformCount,salmonellaPresent,abnormalWeatherException,discountable,discountableReason,discounted
uke4200-08904,Wharfe at Wilderness Carpark,2024-05-06T11:11:00,=,64,=,210,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-05-16T10:35:00,=,64,=,250,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-05-27T10:47:00,>,9000,>,10000,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-05-29T11:05:00,=,7000,>,10000,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-06-07T10:40:00,=,200,=,520,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-06-13T10:40:00,=,91,=,310,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-06-18T11:30:00,=,270,=,880,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-06-25T11:19:00,=,45,=,180,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-07-01T11:36:00,=,18,=,190,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-07-08T11:56:00,=,170,=,500,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-07-13T10:10:00,=,180,=,1300,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-07-19T11:00:00,=,120,=,400,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-07-26T11:09:00,=,45,=,320,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-08-01T10:54:00,=,220,=,440,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-08-09T11:07:00,=,100,=,400,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-08-15T11:09:00,=,100,=,460,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-08-20T11:44:00,=,210,=,380,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-08-28T11:00:00,=,520,=,1500,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-09-05T11:46:00,=,210,=,520,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2024-09-16T10:38:00,=,190,=,440,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-05-06T14:06:00,=,18,=,110,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-05-16T15:23:00,<,10,=,27,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-05-22T15:55:00,<,10,<,10,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-05-31T16:15:00,=,280,=,900,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-06-05T13:05:00,=,140,=,460,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-06-09T15:01:00,=,160,=,580,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-06-20T14:21:00,=,18,=,73,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-06-23T14:51:00,=,55,=,120,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-07-02T13:28:00,=,100,=,350,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-07-12T15:30:00,=,64,=,120,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-07-16T13:12:00,=,27,=,420,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-07-21T14:06:00,=,580,=,2400,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-07-31T13:53:00,<,10,=,160,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-08-07T10:05:00,=,160,=,350,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-08-14T11:06:00,=,18,=,91,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-08-18T13:01:00,=,230,=,680,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-08-27T14:41:00,<,10,=,64,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-09-02T13:42:00,=,130,=,330,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-09-11T13:27:00,=,170,=,260,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2025-09-23T14:05:00,=,490,=,2600,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2026-05-18T13:55:00,<,10,=,82,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2026-05-23T13:27:00,=,36,=,230,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2026-05-28T16:45:00,<,10,=,91,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2026-06-11T13:58:00,=,490,=,910,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2026-06-18T15:40:00,=,45,=,240,"","","","","","","","","","",false,"",""
uke4200-08904,Wharfe at Wilderness Carpark,2026-06-24T13:57:00,=,46,=,64,"","","","","","","","","","",false,"",""
