date,Conham,Hanham,Bristol (centre),Kingswood,Keynsham,Bristol Frome (Frenchay),Bradley Stoke,Portishead (tidal mouth),Nailsea,Pensford (Chew),Chew Magna,Blagdon (Chew head),Yate,Thornbury,Wotton-under-Edge,Bath,Marshfield (By Brook),Colerne,Corsham,Bradford-on-Avon,Radstock (Wellow Brook),Midsomer Norton (Somer),Frome (Somerset),Westbury,Trowbridge,Melksham,Chippenham,Calne (Marden),Devizes,Malmesbury (headwaters),Tetbury (source),catchment_max_mm_per_h,catchment_max_site,catchment_max_cape_j_per_kg,catchment_max_cape_site
2025-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-05-19,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,Frome (Somerset),0.0,Conham
2025-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Blagdon (Chew head),0.0,Conham
2025-05-21,2.5,2.2,2.5,3.3,2.2,2.4,1.7,2.4,3.0,6.1,6.1,4.9,1.4,1.2,0.8,2.1,5.1,2.5,1.1,6.7,2.0,2.0,2.7,1.4,4.6,1.6,1.1,1.2,1.2,6.7,4.5,6.7,Bradford-on-Avon,0.0,Conham
2025-05-22,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.7,0.1,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.7,Blagdon (Chew head),0.0,Conham
2025-05-23,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.2,0.1,0.3,0.5,0.2,0.5,Malmesbury (headwaters),0.0,Conham
2025-05-24,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.7,0.8,0.8,0.8,0.7,0.7,0.6,0.9,0.8,0.9,0.9,1.0,0.9,0.9,0.9,0.9,1.0,1.0,0.9,1.6,0.8,0.7,0.6,1.6,Calne (Marden),0.0,Conham
2025-05-25,1.1,1.2,1.1,0.6,1.2,2.4,0.5,0.8,0.9,1.1,1.1,1.4,0.6,0.8,0.9,1.7,1.3,0.8,3.3,3.4,1.7,1.7,2.7,2.0,4.1,0.9,3.3,3.3,1.1,0.8,0.7,4.1,Trowbridge,0.0,Conham
2025-05-26,3.2,2.0,3.2,0.7,2.0,2.6,3.8,1.9,1.7,1.9,1.9,0.8,0.9,1.1,0.9,2.1,1.4,2.6,0.4,1.8,0.6,0.6,0.7,0.5,0.9,2.6,0.4,0.3,1.5,0.4,0.7,3.8,Bradley Stoke,0.0,Conham
2025-05-27,1.9,2.4,1.9,2.6,2.4,2.1,2.1,2.4,2.4,1.8,1.8,2.6,1.9,2.3,1.8,1.4,1.9,2.2,2.7,1.3,1.6,1.6,1.7,4.3,1.3,2.1,2.7,2.3,1.6,1.5,1.5,4.3,Westbury,0.0,Conham
2025-05-28,1.1,2.1,1.1,0.9,2.1,0.5,0.2,0.3,1.8,0.9,0.9,2.0,0.5,0.1,0.1,0.5,0.5,0.2,0.2,0.5,0.6,0.6,0.3,0.4,0.3,0.3,0.2,0.3,0.3,0.7,1.0,2.1,Hanham,0.0,Conham
2025-05-29,1.2,0.8,1.2,0.6,0.8,0.9,0.8,1.1,1.8,1.3,1.3,2.0,0.6,0.4,0.3,1.1,0.8,0.9,0.9,0.9,0.8,0.8,0.4,0.6,0.7,0.8,0.9,0.8,0.7,0.6,0.3,2.0,Blagdon (Chew head),0.0,Conham
2025-05-30,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.2,Wotton-under-Edge,0.0,Conham
2025-05-31,0.1,0.2,0.1,0.0,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.2,Hanham,0.0,Conham
2025-06-01,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.4,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.4,Blagdon (Chew head),0.0,Conham
2025-06-02,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Bristol Frome (Frenchay),0.0,Conham
2025-06-03,1.8,1.8,1.8,2.3,1.8,1.7,1.5,1.3,1.2,1.5,1.5,1.2,2.1,1.8,2.0,1.5,1.9,1.4,1.3,1.2,1.5,1.5,1.2,0.8,0.8,1.0,1.3,1.1,1.0,2.0,2.0,2.3,Kingswood,0.0,Conham
2025-06-04,0.3,0.3,0.3,0.1,0.3,0.3,0.1,0.6,1.0,0.9,0.9,0.8,0.1,0.1,0.2,1.0,0.5,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.6,0.3,0.4,0.4,0.2,0.2,0.2,1.0,Nailsea,0.0,Conham
2025-06-05,1.0,0.9,1.0,0.8,0.9,0.8,2.4,0.9,1.0,1.7,1.7,1.3,2.9,1.2,1.2,1.0,0.7,1.2,0.6,2.2,1.0,1.0,3.9,4.3,1.5,0.9,0.6,1.2,1.2,1.3,0.7,4.3,Westbury,0.0,Conham
2025-06-06,1.6,1.6,1.6,1.8,1.6,1.8,1.7,2.3,2.3,1.4,1.4,1.4,1.8,1.2,1.4,1.3,1.7,1.5,1.6,1.2,0.9,0.9,0.6,2.1,1.0,1.2,1.6,1.1,0.9,1.4,1.2,2.3,Portishead (tidal mouth),0.0,Conham
2025-06-07,1.7,2.2,1.7,3.9,2.2,3.0,1.4,4.0,1.5,2.5,2.5,2.3,1.0,0.9,0.7,1.4,1.0,2.7,2.1,2.0,1.7,1.7,2.2,3.8,1.4,1.2,2.1,2.3,1.9,3.9,1.3,4.0,Portishead (tidal mouth),0.0,Conham
2025-06-08,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,Bristol Frome (Frenchay),0.0,Conham
2025-06-09,0.6,0.2,0.6,0.1,0.2,0.2,0.1,0.1,0.7,0.3,0.3,0.7,0.1,0.1,0.2,0.3,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.1,0.1,0.7,Nailsea,0.0,Conham
2025-06-10,0.3,0.2,0.3,0.4,0.2,0.5,0.2,0.1,0.6,0.1,0.1,0.6,0.4,0.5,0.4,0.1,0.3,0.1,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.3,0.4,0.4,0.6,Nailsea,0.0,Conham
2025-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,Bradford-on-Avon,0.0,Conham
2025-06-12,1.5,3.4,1.5,2.9,3.4,2.4,3.3,1.9,2.1,3.0,3.0,2.4,2.4,3.0,2.3,2.4,4.0,2.9,6.0,1.9,2.2,2.2,2.7,5.2,2.7,4.0,6.0,2.8,1.6,2.5,4.2,6.0,Corsham,0.0,Conham
2025-06-13,0.9,0.0,0.9,0.0,0.0,1.7,3.3,1.1,1.1,0.2,0.2,2.7,0.1,0.1,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.6,0.0,0.4,0.2,3.3,Bradley Stoke,0.0,Conham
2025-06-14,4.0,1.0,4.0,1.8,1.0,1.1,2.4,0.9,0.3,1.7,1.7,0.8,1.8,4.2,0.5,1.4,0.7,0.7,0.7,1.0,0.5,0.5,0.5,0.7,0.4,0.6,0.7,1.1,0.7,0.8,2.7,4.2,Thornbury,0.0,Conham
2025-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,Nailsea,0.0,Conham
2025-06-16,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.2,Conham,0.0,Conham
2025-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-06-21,0.5,0.5,0.5,1.3,0.5,0.9,2.3,1.2,0.6,0.4,0.4,0.4,1.0,0.5,0.5,0.3,0.4,0.2,0.2,0.2,1.4,1.4,0.4,0.3,0.4,0.2,0.2,0.2,0.2,0.8,0.7,2.3,Bradley Stoke,0.0,Conham
2025-06-22,0.7,0.6,0.7,0.4,0.6,0.4,0.3,0.5,0.5,0.9,0.9,0.7,0.5,0.4,0.2,1.0,0.4,0.7,0.1,0.3,0.5,0.5,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,1.0,Bath,0.0,Conham
2025-06-23,1.3,1.7,1.3,1.2,1.7,0.8,0.6,2.1,0.8,1.2,1.2,0.7,0.9,0.9,1.0,1.1,1.3,3.6,1.7,0.6,0.5,0.5,0.3,0.6,0.4,1.4,1.7,0.5,1.5,0.8,1.0,3.6,Colerne,0.0,Conham
2025-06-24,1.2,0.7,1.2,1.2,0.7,3.0,1.3,0.7,0.3,0.5,0.5,0.6,2.1,3.5,1.5,1.0,3.1,0.4,0.3,0.2,0.7,0.7,1.3,0.5,0.8,0.6,0.3,0.5,0.1,3.8,1.9,3.8,Malmesbury (headwaters),0.0,Conham
2025-06-25,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,Bradley Stoke,0.0,Conham
2025-06-26,2.5,1.4,2.5,1.7,1.4,3.3,1.8,1.3,2.3,2.3,2.3,1.1,0.7,0.9,2.2,1.1,1.8,1.8,0.4,0.9,1.4,1.4,1.1,3.3,1.0,0.5,0.4,0.6,0.3,0.7,1.4,3.3,Bristol Frome (Frenchay),0.0,Conham
2025-06-27,1.2,1.4,1.2,1.1,1.4,0.9,0.7,0.7,1.0,1.4,1.4,1.3,0.9,0.6,0.7,1.3,1.3,1.4,1.3,1.3,1.1,1.1,0.7,0.8,0.9,1.1,1.3,1.2,0.9,1.0,0.8,1.4,Hanham,0.0,Conham
2025-06-28,0.3,0.1,0.3,0.1,0.1,0.2,0.2,0.4,0.5,0.3,0.3,0.5,0.1,0.2,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0.1,0.2,0.5,Nailsea,0.0,Conham
2025-06-29,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.2,Nailsea,0.0,Conham
2025-06-30,0.2,0.1,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Conham,0.0,Conham
2025-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Wotton-under-Edge,0.0,Conham
2025-07-02,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Bradley Stoke,0.0,Conham
2025-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-07-05,0.8,0.7,0.8,0.4,0.7,0.9,0.2,0.4,0.7,1.0,1.0,0.9,0.2,0.4,0.3,1.2,0.3,0.4,0.6,2.0,0.5,0.5,0.3,0.5,1.9,0.5,0.6,0.6,1.1,0.8,0.6,2.0,Bradford-on-Avon,0.0,Conham
2025-07-06,0.3,0.7,0.3,0.6,0.7,0.7,0.8,0.2,0.3,0.3,0.3,0.3,0.9,1.0,1.0,0.3,1.0,0.9,1.3,0.6,0.4,0.4,0.3,2.5,4.8,2.6,1.3,4.4,4.5,0.7,1.0,4.8,Trowbridge,0.0,Conham
2025-07-07,0.5,0.7,0.5,0.5,0.7,0.4,1.4,0.4,0.7,0.6,0.6,0.9,0.4,1.2,0.2,0.6,0.2,0.5,0.2,0.3,0.6,0.6,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.1,0.1,1.4,Bradley Stoke,0.0,Conham
2025-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-07-09,0.0,0.1,0.0,0.3,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.2,0.2,0.4,0.1,0.0,0.0,0.3,0.1,0.1,0.1,0.4,0.2,0.3,0.2,0.3,0.4,Corsham,0.0,Conham
2025-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-07-14,0.3,0.6,0.3,0.4,0.6,0.4,0.3,0.2,0.3,1.5,1.5,0.7,0.2,1.2,0.1,0.1,0.2,0.4,1.6,0.2,0.4,0.4,0.2,0.2,0.2,0.3,1.6,0.4,0.4,0.2,0.3,1.6,Corsham,0.0,Conham
2025-07-15,2.1,1.6,2.1,1.7,1.6,2.7,2.2,1.7,1.7,1.4,1.4,0.7,1.4,1.3,1.7,1.3,1.5,1.2,0.9,0.7,0.9,0.9,0.3,0.4,0.6,0.6,0.9,0.7,0.5,1.1,2.1,2.7,Bristol Frome (Frenchay),0.0,Conham
2025-07-16,0.5,0.2,0.5,0.0,0.2,0.2,0.0,0.5,0.6,0.7,0.7,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.5,0.5,0.5,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,Pensford (Chew),0.0,Conham
2025-07-17,0.5,0.7,0.5,0.3,0.7,0.3,0.2,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.3,0.9,0.2,0.5,0.4,0.6,0.6,0.6,0.6,0.5,0.6,0.4,0.4,0.3,0.3,0.3,0.2,0.9,Bath,0.0,Conham
2025-07-18,0.2,0.5,0.2,0.2,0.5,0.2,0.1,0.2,0.1,0.5,0.5,0.2,0.1,0.3,0.3,0.5,0.3,0.4,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.5,0.5,0.5,Hanham,0.0,Conham
2025-07-19,0.5,0.4,0.5,0.5,0.4,0.4,0.2,0.6,0.7,0.6,0.6,0.7,0.2,0.2,0.2,0.4,0.2,0.5,0.2,0.6,0.5,0.5,0.4,0.3,0.5,0.3,0.2,0.1,0.2,0.1,0.1,0.7,Nailsea,0.0,Conham
2025-07-20,0.9,1.2,0.9,3.4,1.2,2.3,1.6,1.7,0.9,1.2,1.2,2.0,2.2,2.6,1.6,2.0,2.2,2.6,1.3,2.0,3.0,3.0,2.9,3.2,2.1,1.8,1.3,1.8,1.5,1.7,1.2,3.4,Kingswood,0.0,Conham
2025-07-21,0.2,0.3,0.2,0.5,0.3,0.3,0.3,0.5,0.3,0.2,0.2,0.3,0.5,0.5,1.0,0.4,1.4,0.7,0.2,0.5,0.2,0.2,0.2,0.5,0.3,0.4,0.2,1.0,0.3,0.2,0.2,1.4,Marshfield (By Brook),0.0,Conham
2025-07-22,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.4,0.3,0.8,0.8,0.2,0.2,0.7,0.7,0.3,1.1,0.3,0.5,0.4,0.2,0.2,0.3,0.3,0.3,0.7,0.5,0.4,0.3,1.0,0.7,1.1,Marshfield (By Brook),0.0,Conham
